date,tx_fee
2022-12-13,0.8181105951
2022-12-14,0.8067818238
2022-12-15,0.9790727526
2022-12-16,1.294069388
2022-12-17,1.098876991
2022-12-18,1.114200393
2022-12-19,0.9117511193
2022-12-20,1.163435459
2022-12-21,1.129796571
2022-12-22,1.021489552
2022-12-23,1.060329589
2022-12-24,1.068762113
2022-12-25,1.386520299
2022-12-26,1.124310518
2022-12-27,1.304299179
2022-12-28,1.673390459
2022-12-29,1.261797916
2022-12-30,1.285329241
2022-12-31,1.239478936
2023-01-01,0.8339336332
2023-01-02,0.6286322052
2023-01-03,0.6432806822
2023-01-04,0.7740273567
2023-01-05,0.895291994
2023-01-06,0.8577708788
2023-01-07,0.8110331136
2023-01-08,0.5764359797
2023-01-09,0.5033456735
2023-01-10,0.6525319914
2023-01-11,0.6382810533
2023-01-12,0.7542182507
2023-01-13,0.9637449482
2023-01-14,1.003232686
2023-01-15,0.941053211
2023-01-16,0.6584159656
2023-01-17,0.7165382674
2023-01-18,0.890360512
2023-01-19,1.130443832
2023-01-20,1.132478923
2023-01-21,1.419657556
2023-01-22,1.296328421
2023-01-23,1.250014732
2023-01-24,1.159937074
2023-01-25,1.327087261
2023-01-26,0.9552800765
2023-01-27,0.940960247
2023-01-28,1.085783157
2023-01-29,0.9946038529
2023-01-30,0.7673363637
2023-01-31,0.8444782927
2023-02-01,1.366128717
2023-02-02,1.480518424
2023-02-03,1.530068487
2023-02-04,1.806785994
2023-02-05,1.563782278
2023-02-06,1.272898395
2023-02-07,1.39873524
2023-02-08,1.69529364
2023-02-09,1.339887884
2023-02-10,1.315150101
2023-02-11,1.945688326
2023-02-12,1.748673161
2023-02-13,1.584801435
2023-02-14,1.756259548
2023-02-15,1.871710839
2023-02-16,2.463905782
2023-02-17,2.232990746
2023-02-18,1.980899426
2023-02-19,1.774456064
2023-02-20,1.579412583
2023-02-21,1.652872118
2023-02-22,1.467212846
2023-02-23,1.56842288
2023-02-24,1.578204165
2023-02-25,1.484553184
2023-02-26,1.421524781
2023-02-27,1.265099869
2023-02-28,1.809743707
2023-03-01,1.816662366
2023-03-02,1.594495534
2023-03-03,1.698958718
2023-03-04,1.76274212
2023-03-05,1.468936654
2023-03-06,1.359236231
2023-03-07,1.701531341
2023-03-08,1.581645109
2023-03-09,1.980852876
2023-03-10,2.844395922
2023-03-11,2.669109688
2023-03-12,1.729627547
2023-03-13,1.661483496
2023-03-14,1.810109757
2023-03-15,2.830330626
2023-03-16,2.403368393
2023-03-17,2.801774229
2023-03-18,3.310659408
2023-03-19,3.21598771
2023-03-20,2.915076138
2023-03-21,2.421081656
2023-03-22,2.462801383
2023-03-23,3.334856036
2023-03-24,3.708578344
2023-03-25,4.239428153
2023-03-26,2.899054878
2023-03-27,2.320911098
2023-03-28,2.148446119
2023-03-29,2.39468215
2023-03-30,2.314260776
2023-03-31,2.382892095
2023-04-01,2.983338056
2023-04-02,2.805246261
2023-04-03,2.025169057
2023-04-04,2.329474406
2023-04-05,2.242130508
2023-04-06,2.617057727
2023-04-07,2.573764674
2023-04-08,2.116718959
2023-04-09,1.924165131
2023-04-10,1.699364818
2023-04-11,2.151005364
2023-04-12,2.426774389
2023-04-13,2.182683654
2023-04-14,2.3613781
2023-04-15,2.680234482
2023-04-16,2.345132399
2023-04-17,2.080030202
2023-04-18,1.949955593
2023-04-19,1.952667772
2023-04-20,2.045693717
2023-04-21,2.048297216
2023-04-22,1.912429977
2023-04-23,1.266947161
2023-04-24,0.872148283
2023-04-25,1.570190557
2023-04-26,1.988704981
2023-04-27,2.19488025
2023-04-28,2.895990549
2023-04-29,2.78171393
2023-04-30,2.582427673
2023-05-01,2.461444756
2023-05-02,2.897506176
2023-05-03,6.981291352
2023-05-04,7.240916564
2023-05-05,6.695870061
2023-05-06,9.61977431
2023-05-07,8.840758318
2023-05-08,19.21442103
2023-05-09,30.91022069
2023-05-10,20.34255507
2023-05-11,14.0495575
2023-05-12,9.703874249
2023-05-13,9.017496493
2023-05-14,5.072272524
